,Rank,Title,Artist
45,46,Samba de Malandro,"MC Paulin da Capital, MC Piedro, MC Ryan SP,  MC Daniel, DJ WN & DJ GM"
46,47,Manda Um Oi,Guilherme & Benuto & Simone Mendes
47,48,Tropa Do Pisa,"MC PH, TrapLaudo, DJ Murillo E LT No Beat"
48,49,Um Mes E Pouco,Ze Neto & Cristiano
49,50,Ritmista 1.0,"DJ WN, MC Hariel, MC Ryan SP, MC Paulin da Capital, MC Lipi, MC Vinny, Gabb MC, MC Kadu, MC Daniel, MC Gh do 7 & Nog"
50,51,Digitando,Gustavo Moura & Rafael
51,52,Maliciosa,LUDMILLA
52,53,Deja Vu,Luan E Ana Castela
53,54,Solteiro Forcado,Ana Castela
54,55,Patio Do Posto,Ze Neto & Cristiano
55,56,Vestido Curto,Diego & Victor Hugo E Guilherme & Benuto
56,57,Falta de Mim,LUDMILLA & Mari Fernandez
57,58,Loucura,"Borges, Veigh & MC Cabelinho"
58,59,Amor Livre (Ao Vivo),Filipe Ret
59,60,II Most Wanted,Beyonce & Miley Cyrus
60,61,Mala Dos Porta Mala,Gusttavo Lima & Matheus & Kauan
61,62,Corpo Sexy,Guilherme & Benuto & Maiara & Maraisa
62,63,Oi Balde,Ze Neto & Cristiano
63,64,Macetando,Ivete Sangalo & LUDMILLA
64,65,Spaghettii,"Beyonce, Linda Martell & Shaboozey"
65,66,Ela,Sorriso Maroto & Ferrugem
66,67,End Of Beginning,Djo
67,68,Eu Vou Cair Na Noite,"mc pretchako, MC Menor Thalis, DJ RENAN DA BL E dj jl do tp"
68,69,Jolene,Beyonce
69,70,Beijo Equivocado,George Henrique & Rodrigo E Guilherme & Benuto
70,71,Nao Vou Namorar,"DJ Ws da Igrejinha, DJ JOAO PEREIRA, MC Dudu Sk, MC TH DA SERRA & DaLama"
71,72,Seu Erro (Ao Vivo Em Nova Iorque),Henrique & Juliano
72,73,Silverado (Agroplay Verao),ArgoPlay & Luan Pereira
73,74,Equivocada,Traia Veia E Gusttavo Lima
74,75,Tem Cafe,Henry Freitas
75,76,Dentro da Hilux,"Luan Pereira, MC Daniel & MC Ryan SP"
76,77,Seu Brilho Sumiu,Israel & Rodolffo & Mari Fernandez
77,78,Lose Control,Teddy Swims
78,79,Tipo Hollywood,"MC Ws da Leste, MC Chothie E DJ Chadin Do C"
79,80,Greve de Beijo,Israel & Rodolffo
80,81,Senta Pro Bruto,MC Jacare & Luan Pereira
81,82,Tu Es + Aguas Purificadoras,"fhop music, Debora Rabelo & Hamilton Rabelo"
82,83,Narcisista (Ao Vivo Em Portugal),Maiara & Maraisa
83,84,Fantasma da Saudade,Bruno & Marrone
84,85,Nosso Quadro,AgroPlay & Ana Castela
85,86,Desacato,"MC LUUKY, MC Ryan SP, MC Davi, TrapLaudo, MC Kadu, MC Gui da Norte & MC Don Juan"
86,87,Relacao Errada,Gusttavo Lima + Bruno & Marrone
87,88,Torce O Olho,Gusttavo Lima + Hugo & Guilherme
88,89,Bodyguard,Beyonce
89,90,Devia Ser Proibido (Ao Vivo To Be Brasilia),Henrique & Juliano
90,91,Traumatizei (Ao Vivo Em Brasilia),Henrique & Juliano
91,92,So Mais Um Copo,MC IG & Murillo e LT no Beat
92,93,Meio Termo,Luan Santana
93,94,Cama Repetida,Leo Santana & Ze Felipe
94,95,Danca Pra Me Provocar,"DJ Joao Pereira, MC Koringa"
95,96,Emocionado,Breno Ferreira E Felipe Araujo
96,97,Greedy,Tate McRae
97,98,Baile do Bruxo,"Tropa do Bruxo, DJ Ws da Igrejinha, SMU, Triz & MC Menor Thalis"
98,99,Pane No Sistema,Grego E Paulo Pires
99,100,Eu Sou Teu Pai (Ao Vivo),Valesca Mayssa
