audio_features
""
"{'danceability': 0.689, 'energy': 0.454, 'key': 2, 'loudness': -7.643, 'mode': 1, 'speechiness': 0.0584, 'acousticness': 0.0351, 'instrumentalness': 0.00259, 'liveness': 0.0707, 'valence': 0.912, 'tempo': 159.982, 'type': 'audio_features', 'id': '3qhlB30KknSejmIvZZLjOD', 'uri': 'spotify:track:3qhlB30KknSejmIvZZLjOD', 'track_href': 'https://api.spotify.com/v1/tracks/3qhlB30KknSejmIvZZLjOD', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3qhlB30KknSejmIvZZLjOD', 'duration_ms': 159246, 'time_signature': 4}"
"{'danceability': 0.504, 'energy': 0.308, 'key': 9, 'loudness': -14.958, 'mode': 1, 'speechiness': 0.0321, 'acousticness': 0.868, 'instrumentalness': 0.135, 'liveness': 0.158, 'valence': 0.121, 'tempo': 113.95, 'type': 'audio_features', 'id': '3vkCueOmm7xQDoJ17W1Pm3', 'uri': 'spotify:track:3vkCueOmm7xQDoJ17W1Pm3', 'track_href': 'https://api.spotify.com/v1/tracks/3vkCueOmm7xQDoJ17W1Pm3', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3vkCueOmm7xQDoJ17W1Pm3', 'duration_ms': 137773, 'time_signature': 4}"
"{'danceability': 0.593, 'energy': 0.583, 'key': 10, 'loudness': -6.348, 'mode': 1, 'speechiness': 0.0306, 'acousticness': 0.4, 'instrumentalness': 0, 'liveness': 0.194, 'valence': 0.656, 'tempo': 142.0, 'type': 'audio_features', 'id': '2aDgJHhAbABvdW9NszrAPQ', 'uri': 'spotify:track:2aDgJHhAbABvdW9NszrAPQ', 'track_href': 'https://api.spotify.com/v1/tracks/2aDgJHhAbABvdW9NszrAPQ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2aDgJHhAbABvdW9NszrAPQ', 'duration_ms': 241088, 'time_signature': 4}"
"{'danceability': 0.522, 'energy': 0.357, 'key': 2, 'loudness': -8.579, 'mode': 1, 'speechiness': 0.0299, 'acousticness': 0.432, 'instrumentalness': 3.31e-06, 'liveness': 0.094, 'valence': 0.14, 'tempo': 120.049, 'type': 'audio_features', 'id': '3FwQ3RYYEekzjEeL3jdpUZ', 'uri': 'spotify:track:3FwQ3RYYEekzjEeL3jdpUZ', 'track_href': 'https://api.spotify.com/v1/tracks/3FwQ3RYYEekzjEeL3jdpUZ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3FwQ3RYYEekzjEeL3jdpUZ', 'duration_ms': 261300, 'time_signature': 4}"
"{'danceability': 0.743, 'energy': 0.559, 'key': 1, 'loudness': -8.416, 'mode': 0, 'speechiness': 0.0302, 'acousticness': 0.689, 'instrumentalness': 1.46e-05, 'liveness': 0.138, 'valence': 0.589, 'tempo': 109.496, 'type': 'audio_features', 'id': '7geh51STedQfizitdiNPCg', 'uri': 'spotify:track:7geh51STedQfizitdiNPCg', 'track_href': 'https://api.spotify.com/v1/tracks/7geh51STedQfizitdiNPCg', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7geh51STedQfizitdiNPCg', 'duration_ms': 236752, 'time_signature': 3}"
"{'danceability': 0.411, 'energy': 0.619, 'key': 1, 'loudness': -6.834, 'mode': 1, 'speechiness': 0.0368, 'acousticness': 0.62, 'instrumentalness': 0, 'liveness': 0.11, 'valence': 0.337, 'tempo': 177.937, 'type': 'audio_features', 'id': '1bjeWoagtHmUKputLVyDxQ', 'uri': 'spotify:track:1bjeWoagtHmUKputLVyDxQ', 'track_href': 'https://api.spotify.com/v1/tracks/1bjeWoagtHmUKputLVyDxQ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1bjeWoagtHmUKputLVyDxQ', 'duration_ms': 186192, 'time_signature': 4}"
""
"{'danceability': 0.75, 'energy': 0.733, 'key': 6, 'loudness': -3.18, 'mode': 0, 'speechiness': 0.0319, 'acousticness': 0.256, 'instrumentalness': 0, 'liveness': 0.114, 'valence': 0.844, 'tempo': 111.018, 'type': 'audio_features', 'id': '3rUGC1vUpkDG9CZFHMur1t', 'uri': 'spotify:track:3rUGC1vUpkDG9CZFHMur1t', 'track_href': 'https://api.spotify.com/v1/tracks/3rUGC1vUpkDG9CZFHMur1t', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3rUGC1vUpkDG9CZFHMur1t', 'duration_ms': 131872, 'time_signature': 1}"
"{'danceability': 0.48, 'energy': 0.418, 'key': 7, 'loudness': -6.168, 'mode': 1, 'speechiness': 0.0313, 'acousticness': 0.609, 'instrumentalness': 1.6e-05, 'liveness': 0.148, 'valence': 0.207, 'tempo': 125.513, 'type': 'audio_features', 'id': '2sD709AK9zRN6SKUmDhGEa', 'uri': 'spotify:track:2sD709AK9zRN6SKUmDhGEa', 'track_href': 'https://api.spotify.com/v1/tracks/2sD709AK9zRN6SKUmDhGEa', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2sD709AK9zRN6SKUmDhGEa', 'duration_ms': 242000, 'time_signature': 4}"
"{'danceability': 0.596, 'energy': 0.466, 'key': 9, 'loudness': -8.341, 'mode': 1, 'speechiness': 0.0309, 'acousticness': 0.817, 'instrumentalness': 1.59e-06, 'liveness': 0.145, 'valence': 0.355, 'tempo': 136.191, 'type': 'audio_features', 'id': '6L1jkVbb331DNvK89C3L8u', 'uri': 'spotify:track:6L1jkVbb331DNvK89C3L8u', 'track_href': 'https://api.spotify.com/v1/tracks/6L1jkVbb331DNvK89C3L8u', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6L1jkVbb331DNvK89C3L8u', 'duration_ms': 262341, 'time_signature': 4}"
"{'danceability': 0.672, 'energy': 0.52, 'key': 8, 'loudness': -7.747, 'mode': 1, 'speechiness': 0.0353, 'acousticness': 0.859, 'instrumentalness': 0, 'liveness': 0.115, 'valence': 0.37, 'tempo': 120.001, 'type': 'audio_features', 'id': '5O2P9iiztwhomNh8xkR9lJ', 'uri': 'spotify:track:5O2P9iiztwhomNh8xkR9lJ', 'track_href': 'https://api.spotify.com/v1/tracks/5O2P9iiztwhomNh8xkR9lJ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5O2P9iiztwhomNh8xkR9lJ', 'duration_ms': 226600, 'time_signature': 4}"
"{'danceability': 0.518, 'energy': 0.679, 'key': 6, 'loudness': -5.372, 'mode': 0, 'speechiness': 0.046, 'acousticness': 0.68, 'instrumentalness': 1.21e-06, 'liveness': 0.102, 'valence': 0.423, 'tempo': 93.118, 'type': 'audio_features', 'id': '4AfhlJghKIWkXa8sfFEXVd', 'uri': 'spotify:track:4AfhlJghKIWkXa8sfFEXVd', 'track_href': 'https://api.spotify.com/v1/tracks/4AfhlJghKIWkXa8sfFEXVd', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4AfhlJghKIWkXa8sfFEXVd', 'duration_ms': 173720, 'time_signature': 4}"
"{'danceability': 0.472, 'energy': 0.471, 'key': 10, 'loudness': -5.692, 'mode': 1, 'speechiness': 0.0603, 'acousticness': 0.151, 'instrumentalness': 0, 'liveness': 0.14, 'valence': 0.219, 'tempo': 105.029, 'type': 'audio_features', 'id': '6tNQ70jh4OwmPGpYy6R2o9', 'uri': 'spotify:track:6tNQ70jh4OwmPGpYy6R2o9', 'track_href': 'https://api.spotify.com/v1/tracks/6tNQ70jh4OwmPGpYy6R2o9', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6tNQ70jh4OwmPGpYy6R2o9', 'duration_ms': 180304, 'time_signature': 3}"
"{'danceability': 0.67, 'energy': 0.743, 'key': 10, 'loudness': -4.993, 'mode': 1, 'speechiness': 0.0393, 'acousticness': 0.237, 'instrumentalness': 0, 'liveness': 0.465, 'valence': 0.571, 'tempo': 125.944, 'type': 'audio_features', 'id': '6mQLN3zRtAp6ovjusyYKrV', 'uri': 'spotify:track:6mQLN3zRtAp6ovjusyYKrV', 'track_href': 'https://api.spotify.com/v1/tracks/6mQLN3zRtAp6ovjusyYKrV', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6mQLN3zRtAp6ovjusyYKrV', 'duration_ms': 218293, 'time_signature': 4}"
