audio_features
""
"{'danceability': 0.774, 'energy': 0.86, 'key': 7, 'loudness': -2.888, 'mode': 0, 'speechiness': 0.13, 'acousticness': 0.131, 'instrumentalness': 0, 'liveness': 0.116, 'valence': 0.446, 'tempo': 100.019, 'type': 'audio_features', 'id': '7bywjHOc0wSjGGbj04XbVi', 'uri': 'spotify:track:7bywjHOc0wSjGGbj04XbVi', 'track_href': 'https://api.spotify.com/v1/tracks/7bywjHOc0wSjGGbj04XbVi', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7bywjHOc0wSjGGbj04XbVi', 'duration_ms': 196800, 'time_signature': 4}"
""
""
"{'danceability': 0.911, 'energy': 0.778, 'key': 5, 'loudness': -2.248, 'mode': 1, 'speechiness': 0.262, 'acousticness': 0.0887, 'instrumentalness': 2.16e-05, 'liveness': 0.179, 'valence': 0.345, 'tempo': 96.057, 'type': 'audio_features', 'id': '7iQXYTyuG13aoeHxGG28Nh', 'uri': 'spotify:track:7iQXYTyuG13aoeHxGG28Nh', 'track_href': 'https://api.spotify.com/v1/tracks/7iQXYTyuG13aoeHxGG28Nh', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7iQXYTyuG13aoeHxGG28Nh', 'duration_ms': 162768, 'time_signature': 4}"
"{'danceability': 0.841, 'energy': 0.738, 'key': 7, 'loudness': -7.455, 'mode': 0, 'speechiness': 0.307, 'acousticness': 0.52, 'instrumentalness': 0, 'liveness': 0.0892, 'valence': 0.484, 'tempo': 169.918, 'type': 'audio_features', 'id': '5RqSsdzTNPX1uzkmlHCFvK', 'uri': 'spotify:track:5RqSsdzTNPX1uzkmlHCFvK', 'track_href': 'https://api.spotify.com/v1/tracks/5RqSsdzTNPX1uzkmlHCFvK', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5RqSsdzTNPX1uzkmlHCFvK', 'duration_ms': 172798, 'time_signature': 4}"
"{'danceability': 0.72, 'energy': 0.88, 'key': 9, 'loudness': -2.834, 'mode': 1, 'speechiness': 0.101, 'acousticness': 0.0562, 'instrumentalness': 0.06, 'liveness': 0.153, 'valence': 0.463, 'tempo': 180.011, 'type': 'audio_features', 'id': '05WVKTdZhlIMX4qqMLuo0f', 'uri': 'spotify:track:05WVKTdZhlIMX4qqMLuo0f', 'track_href': 'https://api.spotify.com/v1/tracks/05WVKTdZhlIMX4qqMLuo0f', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/05WVKTdZhlIMX4qqMLuo0f', 'duration_ms': 197333, 'time_signature': 4}"
""
"{'danceability': 0.616, 'energy': 0.834, 'key': 9, 'loudness': -3.069, 'mode': 1, 'speechiness': 0.0664, 'acousticness': 0.06, 'instrumentalness': 0, 'liveness': 0.338, 'valence': 0.746, 'tempo': 151.701, 'type': 'audio_features', 'id': '0O3U5iwTbiXCREMkvotJuN', 'uri': 'spotify:track:0O3U5iwTbiXCREMkvotJuN', 'track_href': 'https://api.spotify.com/v1/tracks/0O3U5iwTbiXCREMkvotJuN', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0O3U5iwTbiXCREMkvotJuN', 'duration_ms': 165848, 'time_signature': 4}"
"{'danceability': 0.835, 'energy': 0.679, 'key': 7, 'loudness': -5.329, 'mode': 0, 'speechiness': 0.0364, 'acousticness': 0.583, 'instrumentalness': 1.98e-06, 'liveness': 0.218, 'valence': 0.85, 'tempo': 124.98, 'type': 'audio_features', 'id': '3tt9i3Hhzq84dPS8H7iSiJ', 'uri': 'spotify:track:3tt9i3Hhzq84dPS8H7iSiJ', 'track_href': 'https://api.spotify.com/v1/tracks/3tt9i3Hhzq84dPS8H7iSiJ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3tt9i3Hhzq84dPS8H7iSiJ', 'duration_ms': 162638, 'time_signature': 4}"
""
"{'danceability': 0.575, 'energy': 0.466, 'key': 0, 'loudness': -7.143, 'mode': 1, 'speechiness': 0.129, 'acousticness': 0.166, 'instrumentalness': 0, 'liveness': 0.138, 'valence': 0.693, 'tempo': 179.654, 'type': 'audio_features', 'id': '2EcGljResI3kZnrucrGORE', 'uri': 'spotify:track:2EcGljResI3kZnrucrGORE', 'track_href': 'https://api.spotify.com/v1/tracks/2EcGljResI3kZnrucrGORE', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2EcGljResI3kZnrucrGORE', 'duration_ms': 167637, 'time_signature': 4}"
"{'danceability': 0.92, 'energy': 0.696, 'key': 6, 'loudness': -3.356, 'mode': 0, 'speechiness': 0.0742, 'acousticness': 0.183, 'instrumentalness': 0, 'liveness': 0.149, 'valence': 0.545, 'tempo': 106.966, 'type': 'audio_features', 'id': '505v13epFXodT9fVAJ6h8k', 'uri': 'spotify:track:505v13epFXodT9fVAJ6h8k', 'track_href': 'https://api.spotify.com/v1/tracks/505v13epFXodT9fVAJ6h8k', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/505v13epFXodT9fVAJ6h8k', 'duration_ms': 170480, 'time_signature': 4}"
"{'danceability': 0.736, 'energy': 0.9, 'key': 1, 'loudness': -4.575, 'mode': 1, 'speechiness': 0.0825, 'acousticness': 0.224, 'instrumentalness': 0, 'liveness': 0.375, 'valence': 0.562, 'tempo': 149.947, 'type': 'audio_features', 'id': '6jRZ33ifS5VOTMwmPxhPhN', 'uri': 'spotify:track:6jRZ33ifS5VOTMwmPxhPhN', 'track_href': 'https://api.spotify.com/v1/tracks/6jRZ33ifS5VOTMwmPxhPhN', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6jRZ33ifS5VOTMwmPxhPhN', 'duration_ms': 204000, 'time_signature': 4}"
"{'danceability': 0.634, 'energy': 0.725, 'key': 5, 'loudness': -4.945, 'mode': 0, 'speechiness': 0.0587, 'acousticness': 0.0776, 'instrumentalness': 0, 'liveness': 0.211, 'valence': 0.795, 'tempo': 159.845, 'type': 'audio_features', 'id': '54zcJnb3tp9c5OVKREZ1Is', 'uri': 'spotify:track:54zcJnb3tp9c5OVKREZ1Is', 'track_href': 'https://api.spotify.com/v1/tracks/54zcJnb3tp9c5OVKREZ1Is', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/54zcJnb3tp9c5OVKREZ1Is', 'duration_ms': 154375, 'time_signature': 4}"
